ASIN,Brand,Title,Category,BuyBox,#,Fulfillment,Price,FBA fee,Sales,Revenue,BSR,Rating,Review Count,Review Velocity,Dimensions,Weight,Size Tier,Images,Listing Creation Date,Product,Product (marketplace language),Country,Page,Type,Reviews Seller,Price Seller,Rating Seller,Price 2,Category (marketplace language),Timestamp,Ranking,Title Length,Variations,isReference
B08N2ZQFJQ,Stilemo,Kabelkanal Schreibtisch TÜV Rheinland geprüft - Kabelmanagement Schreibtisch für Ordnung am Arbeitsplatz - Kabelhalter Kabelwanne Tisch 2er Set - 43 x 12 x 10 cm - Kabelkorb schwarz,Baumarkt,n/a,n/a,n/a,"26,865546218487395",846,808,"21707,361344537814",3161,"4,8",463,"0,0","4,37 x 5,51 x 17,36","4,078551847",5,"8,0",2021-04-13 23:06:00,Kabelkanal Schreibtisch,kabelkanal schreibtisch,DE,1,n/a,116,"28,563025210084035","4,5","26,865546218487395",n/a,1634231889,0,181,5,False
B08D9P8HZC,KabelDirekt,"KD Essentials – Kabelkorb aus Metall, 2er-Pack – Kabelhalterung & Kabelkanal & Kabelwanne (Untertisch-/Wandmontage, schraubbar, verstaut Kabel, Ladegeräte, Netzteile, Steckdosenleisten, schwarz)",Baumarkt,n/a,n/a,n/a,"15,949579831932775",684,1147,"18294,168067226892",1237,"4,6",567,"0,0","5,12 x 5,91 x 16,73","2,7778245012",5,"7,0",2020-10-30 09:44:00,Kabelkanal Schreibtisch,kabelkanal schreibtisch,DE,1,n/a,116,"28,563025210084035","4,5","15,949579831932775",n/a,1634231889,1,194,0,False
B07SJ47RRK,AGPTEK,"AGPTEK Kabelkanal, selbstschließend Kabelschlauch, gewebter Kabelmantel zuschneidbar, flexibel 3m, Durchmesser 12-20mm, verstecken im Schreibtisch, TV, Boden, Schwarz",Baumarkt,n/a,n/a,n/a,"10,915966386554622",370,4852,"52964,26890756303",135,"4,6",4906,"0,0","1,02 x 8,7 x 8,98","0,2425084882",3,"7,0",2019-06-24 19:32:00,Kabelkanal Schreibtisch,kabelkanal schreibtisch,DE,1,n/a,116,"28,563025210084035","4,5","10,915966386554622",n/a,1634231889,2,166,2,False
B08SJJL9WH,UNITURE,UNITURE® [2er Set] Kabelkanal Schreibtisch für ordentliches Kabelmanagement - Kabelhalter Schreibtisch mit einfacher Montage und zeitlosem Design - 2x40cm - Kabelführung für Home-Office (Schwarz),Baumarkt,n/a,n/a,n/a,"25,201680672268907",789,1029,"25932,529411764706",1348,"4,7",176,"0,0","4,21 x 4,29 x 16,02","2,866009406",5,"6,0",2021-02-03 14:16:00,Kabelkanal Schreibtisch,kabelkanal schreibtisch,DE,1,n/a,116,"28,563025210084035","4,5","25,201680672268907",n/a,1634231889,3,195,2,False
B088GLTZBX,Stilemo,"Kabelkanal Schreibtisch TÜV Rheinland geprüft - Kabelmanagement Schreibtisch für Ordnung am Arbeitsplatz - Kabelhalter Kabelwanne Tisch 2er Set - Kabelkanal - 38 x 10,5 x 11 cm (Schwarz)",Baumarkt,n/a,n/a,n/a,"16,781512605042018",659,506,"8491,44537815126",3280,"4,8",556,"0,0","5,75 x 7,36 x 15,75","2,6896395964",5,"6,0",2020-08-21 15:46:00,Kabelkanal Schreibtisch,kabelkanal schreibtisch,DE,1,n/a,116,"28,563025210084035","4,5","16,781512605042018",n/a,1634231889,4,186,3,False
B08N2X77HG,Stilemo,Kabelkanal Schreibtisch TÜV Rheinland geprüft - Kabelmanagement Schreibtisch für Ordnung am Arbeitsplatz - Kabelhalter Kabelwanne Tisch 2er Set - 43 x 12 x 10 cm - Kabelkorb (weiß),Baumarkt,n/a,n/a,n/a,"26,84873949579832",844,150,"4027,310924369748",112962,"0,0",0,"0,0","4,45 x 5,08 x 17,24","4,0344593946",5,"9,0",2021-04-13 23:06:00,Kabelkanal Schreibtisch,kabelkanal schreibtisch,DE,1,n/a,116,"28,563025210084035","4,5","26,84873949579832",n/a,1634231889,5,180,0,False
B0824QYRSH,Annvchi,"Kabelkanal Schreibtisch, kabelmanagement 2 Stücke Cable Management - Computer Kabel Aufbewahrung und 10 Stück Kabelbinder, 10 Stück Klebeband zum einfachen Kabelmanagement",Bürobedarf & Schreibwaren,n/a,n/a,n/a,"15,109243697478993",633,290,"4381,680672268908",4417,"4,5",556,"0,0","5,2 x 7,13 x 16,18","2,1384839414",5,"6,0",2020-01-25 19:04:00,Kabelkanal Schreibtisch,kabelkanal schreibtisch,DE,1,n/a,116,"28,563025210084035","4,5","15,109243697478993",n/a,1634231889,7,171,0,False
B08N1HX647,pamo,PAMO Kabelkanal Schreibtisch zur einfachen Montage untertisch I 2er Set - mit 6x Klett Kabelbinder I Schreibtisch Organizer für Büro/Home Office Tisch durchdachter Kabelhalter,Baumarkt,n/a,n/a,n/a,"20,96638655462185",754,399,"8365,588235294117",4543,"4,7",278,"0,0","4,53 x 5,91 x 17,52","3,968320716",5,"7,0",2021-01-11 20:16:00,Kabelkanal Schreibtisch,kabelkanal schreibtisch,DE,1,n/a,116,"28,563025210084035","4,5","20,96638655462185",n/a,1634231889,8,175,6,False
B08THTQZ37,KADAX,"KADAX Kabelkanal waagerecht aus Stahl, 72,5 x 16,5 x 8,7 cm, Kabelabdeckung, schraubbarer Kabelhalter, Untertisch Kabelmanagement, Kabelkorb, Kabelgitter",Baumarkt,n/a,n/a,n/a,"15,109243697478993",841,281,"4245,697478991597",6840,"4,6",94,"0,0","3,43 x 6,5 x 28,54","1,0141264052",5,"7,0",2021-01-21 10:08:00,Kabelkanal Schreibtisch,kabelkanal schreibtisch,DE,1,n/a,116,"28,563025210084035","4,5","15,109243697478993",n/a,1634231889,9,153,1,False
B07486L6Z5,D-Line,"D-Line CZ252.5W flexibler Kabelkanal für den Schreibtisch | Optimale Kabelordnung mit dem Kabelschutzschlauch | Länge 2,5 m, Durchmesser 25 mm - Weiß",Baumarkt,n/a,n/a,n/a,"10,915966386554622",463,299,"3263,8739495798322",6196,"4,4",1201,"0,0","3,15 x 10,94 x 11,02","0,5291094288",3,"4,0",2017-10-18 12:59:16,Kabelkanal Schreibtisch,kabelkanal schreibtisch,DE,1,n/a,116,"28,563025210084035","4,5","10,915966386554622",n/a,1634231889,10,149,5,False
